objid,ra,dec,i,r,g,ra_px,dec_px
1237646587710014865,80.5912936913702,0.683021330293431,19.01207,20.24271,21.44802,485.4517279665438,663.7389949193704
1237646587710013922,80.5247196640703,0.816318872596518,17.48948,17.74645,18.34085,1697.0252943692997,57.853044826995074
1237646587710013924,80.5269028828162,0.674772593499092,17.69765,17.84702,18.2391,410.4464993814737,78.3043820902684
1237646587710015104,80.5273855346273,0.820973438182139,20.9898,22.16393,23.67014,1739.3337901409686,82.07183941842698
1237646587710014490,80.5277744044166,0.747081765887589,19.57633,19.82101,20.43236,1067.6982664411817,85.92144781715967
1237646587710013944,80.5311054496007,0.670186316252547,18.15948,18.45059,19.22779,368.76130236978247,116.5355972516744
1237646587710014491,80.5314899670203,0.818620110496383,21.05736,21.19439,21.61099,1717.9447622727016,119.40003607794768
1237646587710015109,80.5334983589066,0.834265104939285,20.89615,22.18299,23.94104,1860.1503041701822,137.59402140847942
1237646587710014377,80.5365926450422,0.806596445843087,17.43917,18.47903,19.93106,1608.6579260486078,165.8457492350342
1237646587710014688,80.5395019088188,0.832505408221187,19.97215,21.02366,22.51277,1844.1578283299036,192.186632082183
1237646587710014687,80.5395121748616,0.820063435582562,19.24607,19.76663,20.99854,1731.0668344294172,192.3331342112441
1237646587710013479,80.5395434499466,0.769905721552343,16.98972,17.12775,17.48567,1275.1601317327572,192.83180838941746
1237646587710013960,80.5401160587404,0.681353730167887,18.32399,18.44948,18.84558,470.2707696546104,198.41659313759953
1237646587710013973,80.5444869598252,0.83112092030727,17.00827,17.30216,18.10483,1831.5754900531592,237.51733201704144
1237646587710014708,80.5449346635361,0.71568308935854,21.14094,21.65392,22.71596,782.3080971374698,242.0824436205654
1237646587710013485,80.5459567643034,0.847002518937278,16.78246,17.00457,17.55998,1975.9315485899851,250.8129303092278
1237646587710013986,80.546917075876,0.779179985925973,18.30195,18.61617,19.4128,1359.4611113846113,259.8350087145311
1237646587710014504,80.5500703460845,0.751460380223225,19.57058,19.82424,20.48128,1107.5062870264264,288.6243563827521
1237646587710013992,80.5552377484311,0.792106189571186,19.35813,19.63321,20.1772,1476.9567596683085,335.432950379444
1237646587710014393,80.5569468999894,0.82833166566081,19.02909,19.57568,20.79843,1806.2277152422362,350.8168448402147
1237646587710014395,80.5585018701497,0.736536612536715,19.32833,19.79964,20.90926,971.8610009034207,365.3506576597438
1237646587710013504,80.5595760542326,0.784754673955078,16.65769,16.84674,17.29955,1410.1373207800948,374.90948027605367
1237646587710013998,80.5599911881513,0.790447232457651,16.94394,17.30608,18.23634,1461.8797731793507,378.6594110536245
1237646587710014754,80.5608289402908,0.829223676284007,20.52302,21.29042,22.65328,1814.3372795866294,386.1090545066969
1237646587710014008,80.5640876289916,0.83296718948505,17.17552,17.42255,18.10107,1848.3652629648818,415.72132071390996
1237646587710013518,80.565507514256,0.838705433134545,17.2962,17.43223,17.82131,1900.5235165547933,428.60627831541757
1237646587710014783,80.5660268030798,0.830547080375865,20.54041,21.74964,23.25138,1826.3685988129164,433.36301761496054
1237646587710013561,80.5714947415585,0.823292373329623,17.27877,17.46593,17.98622,1760.429605824725,483.10972754130324
1237646587710014034,80.5760873038281,0.82633878666797,18.3223,18.4703,18.87879,1788.1220079831705,524.8527429744015
1237646587710014807,80.5784336237662,0.73683588907289,20.80595,21.24199,22.27789,974.5903705542562,546.5754058170768
1237646587710014809,80.5786726506852,0.827772584475281,19.83049,20.31474,21.49314,1801.1556852368506,548.3528430067336
1237646587710014819,80.5832467967114,0.802747012911923,20.37544,20.73127,21.71986,1573.6888008270457,590.0507935865172
1237646587710014542,80.5840555977712,0.842117131490269,19.89714,20.11235,20.77516,1931.5426544464055,597.2327413028471
1237646587710014398,80.5842515648562,0.794914079624395,17.79615,18.8942,20.42656,1502.4921589931264,599.2205255292378
1237646587710014059,80.5882883378562,0.724794538465652,17.31871,18.4369,19.9354,865.1459100551473,636.2303341741715
1237646587710014856,80.5893270035111,0.769935600696955,20.6218,21.26467,22.35348,1275.4538977192012,645.4767452374064
1237646587710014065,80.5924527255784,0.814596617664775,16.32619,16.62158,17.40239,1681.399890059447,673.7009265013179
1237646587710014868,80.5923968604661,0.667156166578771,20.57249,20.89959,21.83656,341.2464699569738,673.8390024063684
1237646587710014069,80.5929859983813,0.802069625598075,16.47302,16.76637,17.57302,1567.5365359055788,678.604433208738
1237646587710014870,80.5937665469889,0.659237408544642,19.24773,20.39641,21.81703,269.26987207528305,686.3275521785221
1237646587710014871,80.5941984179192,0.839562175140113,20.94656,21.15977,21.79774,1908.3244675323608,689.4635703690828
1237646587710014557,80.5959363453446,0.724387805743928,19.61268,19.82404,20.34125,861.4527993091092,705.7704794194012
1237646587710014083,80.5984306961499,0.735601188163322,18.28395,18.44773,18.89559,963.3775719629537,728.4007208468665
1237646587710014113,80.6054853709263,0.803501991426747,17.15346,17.39919,18.06359,1580.5624635136592,792.244799712269
1237646587710014121,80.6099114258399,0.818704489549525,16.68139,17.11529,18.19995,1718.7473987592177,832.4201659933688
1237646587710014127,80.613479947477,0.725261158275763,19.43146,19.64208,20.12651,869.4004070771772,865.2791975442949
1237646587710014138,80.6155318044991,0.716273497836257,17.90225,18.13577,18.71854,787.7086299512657,883.9752052546592
1237646587710014568,80.6191951824116,0.827520390901255,19.39825,19.60338,20.26858,1798.8844053416135,916.7904275730532
1237646587710014923,80.6209447980735,0.714298437306061,19.91853,20.89396,22.47397,769.7594284381154,933.2009051319318
1237646587710014155,80.6216294408516,0.737764415419028,16.36097,17.40461,18.85106,983.0526889640079,939.3217057642904
1237646587710014169,80.6228103028543,0.778784863746592,18.99346,19.1356,19.56268,1355.9067549770207,949.8761900206681
1237646587710014925,80.6237706182036,0.843433045001542,19.5721,20.19725,21.54942,1943.5246888939687,958.3201812929979
1237646587710014929,80.6256278792108,0.780352456678478,19.15188,19.66618,21.04833,1370.1569363868473,975.487295766938
1237646587710014931,80.6267251692514,0.738258441787112,19.54829,20.01276,20.94499,987.5460259392336,985.6515231236249
1237646587710014938,80.6271722943964,0.753396257963802,19.61636,20.89929,22.41898,1125.1407267022523,989.6495211421113
1237646587710014943,80.6273945085327,0.827657835999185,20.57381,21.67566,23.12971,1800.1384206831835,991.3392363038961
1237646587710014949,80.6290147133273,0.70000088752461,19.77206,20.13115,20.96056,639.8071017698894,1006.6393057285665
1237646587710014571,80.630728960785,0.788998675087148,19.37863,19.63626,20.28028,1448.7493324435782,1021.8289767963661
1237646587710014990,80.6379237117831,0.774418168510486,20.46373,20.74021,21.63372,1316.2247420181777,1087.3104916093916
1237646587710014995,80.6399381923545,0.797390081216599,20.88664,21.20041,22.00558,1525.0281913115182,1105.5237593500572
1237646587710014219,80.6426174326986,0.803527896566395,17.90942,18.25183,19.02296,1580.8192721467103,1129.8564354432106
1237646587710015002,80.644962412517,0.834846700306594,19.99404,20.83925,22.44146,1865.4920373381794,1151.0368363176624
